Lat,Long,Street,Dummy1,PriceSEK,PriceSQM,Dummy2
0.0,0.0,KALMGATAN 6: KALMGATAN 6:HAMMARBYHOJDEN:Sweden,SLUTPRISSEK,2400000,77419,KR/M2
0.0,0.0,BERGSUNDSGATAN 7 VAN 4:SODERMALM-HORNSTULL:STOCKHOLM:Sweden,SLUTPRISSEK,3100000,96875,KR/M2
0.0,0.0,GAMLA HUDDINGEVAGEN 424B: GAMLA HUDDINGEVAGEN 424B:ALVSJO/ORBY:Sweden,SLUTPRISSEK,3150000,38650,KR/M2
0.0,0.0,GRIMSTAGATAN 34:VALLINGBY-GRIMSTA:STOCKHOLM:Sweden,SLUTPRISSEK,3100000,40789,KR/M2
0.0,0.0,TORKEL KNUTSSONSGATAN 35:MARIA:STOCKHOLM:Sweden,SLUTPRISSEK,2850000,95000,KR/M2
0.0,0.0,SOCKENVAGEN 484:GAMLAENSKEDE:STOCKHOLM:Sweden,SLUTPRISSEK,2700000,55102,KR/M2
0.0,0.0,FJALLNASGATAN 4:VALLINGBY:STOCKHOLM:Sweden,SLUTPRISSEK,1775000,45513,KR/M2
0.0,0.0,ZEPPELINARGATAN 6:SKARPNACK:STOCKHOLM:Sweden,SLUTPRISSEK,4350000
0.0,0.0,EKNASVAGEN 8: EKNASVAGEN 8:KUNGSHOLMEN-STORAESSINGEN:Sweden,SLUTPRISSEK,3320000,70638,KR/M2
0.0,0.0,BAVERDAMMSGRAND 86:RAGSVED:STOCKHOLM:Sweden,SLUTPRISSEK,2300000,25414,KR/M2
0.0,0.0,HORNSGATAN 89: 2TR OG:ANDEL I BOSTADSFORENING SODERMALM-HOGALID:Sweden,SLUTPRISSEK,3310000,91944,KR/M2
0.0,0.0,TAMNARVAGEN 30:STOCKHOLM:55 M2   2 RUM:Sweden,SLUTPRISSEK,2570000,46727,KR/M2
0.0,0.0,FORSSKALSGATAN 16:GULLMARSPLAN/JOHANNESHOV:STOCKHOLM:Sweden,SLUTPRISSEK,2060000,103000,KR/M2
0.0,0.0,ETSARVAGEN 4:GULLMARSPLAN/JOHANNESHOV:STOCKHOLM:Sweden,SLUTPRISSEK,6360000,62353,KR/M2
0.0,0.0,ELINSBORGSBACKEN 19:SPANGATENSTA:STOCKHOLM:Sweden,SLUTPRISSEK,1550000,19872,KR/M2
0.0,0.0,STRALGATAN 47:LILLAESSINGEN\KUNGSHOLMEN:STOCKHOLM:Sweden,SLUTPRISSEK,3000000,69767,KR/M2
0.0,0.0,ULVSUNDAVAGEN 44:BROMMA/TRANEBERG:STOCKHOLM:Sweden,SLUTPRISSEK,2650000,56383,KR/M2
0.0,0.0,ATLASGATAN 4 1:VASASTAN-ATLAS:STOCKHOLM:Sweden,SLUTPRISSEK,5350000,84921,KR/M2
0.0,0.0,RORLAGGARVAGEN 18:ABRAHAMSBERG:STOCKHOLM:Sweden,SLUTPRISSEK,4150000,56849,KR/M2
0.0,0.0,STORAESSINGEN/KUNGSHOLMEN:STOCKHOLM:67 M2   2:Sweden,SLUTPRISSEK,5300000,79104,KR/M2
0.0,0.0,EDAGRAND 12:FARSTA:STOCKHOLM:Sweden,SLUTPRISSEK,4300000,46237,KR/M2
0.0,0.0,ASKANGSBACKEN 52:MARIEHALL:STOCKHOLM:Sweden,SLUTPRISSEK,2550000,62195,KR/M2
0.0,0.0,KYNDELSMASSOGRAND 17:TELEFONPLAN/MIDSOMMARKRANSEN:STOCKHOLM:Sweden,SLUTPRISSEK,2930000,69762,KR/M2
0.0,0.0,MARIA ROHLS VAG 5:SKONDAL:STOCKHOLM:Sweden,SLUTPRISSEK,3700000,50000,KR/M2
0.0,0.0,TORSGATAN 41:VASASTAN:STOCKHOLM:Sweden,SLUTPRISSEK,3000000,107143,KR/M2
0.0,0.0,TJUSTGATAN 5:SODERMALM-KATARINA:STOCKHOLM:Sweden,SLUTPRISSEK,4650000,81579,KR/M2
0.0,0.0,STORANGSGATAN 5:NORRADJURGARDSSTADEN:STOCKHOLM:Sweden,SLUTPRISSEK,5150000,68667,KR/M2
0.0,0.0,ALGRYTEBACKEN 13:BREDANG:STOCKHOLM:Sweden,SLUTPRISSEK,2700000,33750,KR/M2
0.0,0.0,KASTRUPGATAN 9: KASTRUPGATAN 9:KISTA:Sweden,SLUTPRISSEK,1800000,40000,KR/M2
0.0,0.0,LARSBODAVAGEN 70: LARSBODAVAGEN 70:STOCKHOLM:Sweden,SLUTPRISSEK,2850000,39583,KR/M2
0.0,0.0,ADA NILSSONS GATA 5:HAGERSTEN:STOCKHOLM:Sweden,SLUTPRISSEK,2900000,44615,KR/M2
0.0,0.0,IMATRAGATAN 386: IMATRAGATAN 386:KISTA:Sweden,SLUTPRISSEK,2800000,32941,KR/M2
0.0,0.0,JAMTLANDSGATAN 107: JAMTLANDSGATAN 107:VALLINGBYPARKSTAD-RACKSTA:Sweden,SLUTPRISSEK,2700000,40909,KR/M2
0.0,0.0,STUREHILLSVAGEN 20: STUREHILLSVAGEN 20:LILJEHOLMSKAJEN-ARSTABERG:Sweden,SLUTPRISSEK,4200000,60000,KR/M2
0.0,0.0,MOCKELVAGEN 34: MOCKELVAGEN 34:ARSTA:Sweden,SLUTPRISSEK,2450000,58333,KR/M2
0.0,0.0,LIDNERSGATAN 2:KRISTINEBERG:STOCKHOLM:Sweden,SLUTPRISSEK,2670000,78529,KR/M2
0.0,0.0,LOVISELUNDSVAGEN 151 B:HASSELBYSODRAVILLASTAD:STOCKHOLM:Sweden,SLUTPRISSEK,4300000
0.0,0.0,ATTERBOMSVAGEN 30: ATTERBOMSVAGEN 30:KUNGSHOLMEN-FREDHALL:Sweden,SLUTPRISSEK,5210000,69467,KR/M2
0.0,0.0,SEHLSTEDTSGATAN 7:GARDET:STOCKHOLM:Sweden,SLUTPRISSEK,4100000,75926,KR/M2
0.0,0.0,TRETTONDAGSVAGEN 8:TELEFONPLAN-MIDSOMMARKRANSEN:STOCKHOLM:Sweden,SLUTPRISSEK,4550000,64539,KR/M2
0.0,0.0,SOROGATAN 89:KISTA:STOCKHOLM:Sweden,SLUTPRISSEK,2500000,27322,KR/M2
0.0,0.0,SIBELIUSGANGEN 56: SIBELIUSGANGEN 56:AKALLA:Sweden,SLUTPRISSEK,1995000,26424,KR/M2
0.0,0.0,DOBELNSGATAN 18: DOBELNSGATAN 18:VASASTAN-CITY/NORRMALM:Sweden,SLUTPRISSEK,5000000,89286,KR/M2
0.0,0.0,ULRIKSBORGSGATAN 16:KUNGSHOLMEN-LINDHAGEN:STOCKHOLM:Sweden,SLUTPRISSEK,3300000,79518,KR/M2
0.0,0.0,HEDINSGATAN 5:GARDET:STOCKHOLM:Sweden,SLUTPRISSEK,9400000,122078,KR/M2
0.0,0.0,ATTERBOMSVAGEN 30:KUNGSHOLMEN-FREDHALL:STOCKHOLM:Sweden,SLUTPRISSEK,2890000,90313,KR/M2
0.0,0.0,SICKLA KANALGATA 103:HAMMARBYSJOSTAD:STOCKHOLM:Sweden,SLUTPRISSEK,4850000,51596,KR/M2
0.0,0.0,SVANDAMMSVAGEN 36:MIDSOMMARKRANSEN:STOCKHOLM:Sweden,SLUTPRISSEK,3030000,81892,KR/M2
0.0,0.0,DROTTNINGHOLMSVAGEN 31:KUNGSHOLMEN/FRIDHEMSPLAN:STOCKHOLM:Sweden,SLUTPRISSEK,4565000,74836,KR/M2
0.0,0.0,STORSJOVAGEN 38:ARSTA:STOCKHOLM:Sweden,SLUTPRISSEK,1795000,93005,KR/M2
0.0,0.0,ADLERBETHSGATAN 15: ADLERBETHSGATAN 15:KUNGSHOLMEN/FREDHALL:Sweden,SLUTPRISSEK,2875000,84559,KR/M2
0.0,0.0,OLA HANSSONSGATAN 6:KUNGSHOLMEN-KRISTINEBERG:STOCKHOLM:Sweden,SLUTPRISSEK,3180000,85946,KR/M2
0.0,0.0,VASTERASGATAN 3C:VASASTAN-ODENPLAN:STOCKHOLM:Sweden,SLUTPRISSEK,8250000,85052,KR/M2
0.0,0.0,VITALISVAGEN 7: VITALISVAGEN 7:KUNGSHOLMEN-FREDHALL:Sweden,SLUTPRISSEK,3150000,78750,KR/M2
0.0,0.0,RALAMBSVAGEN 50:KUNGSHOLMEN-FREDHALL:STOCKHOLM:Sweden,SLUTPRISSEK,3200000,71111,KR/M2
0.0,0.0,STORFORSPLAN 5:STOCKHOLM:31 M2   1 RUM:Sweden,SLUTPRISSEK,2020000,65161,KR/M2
0.0,0.0,HILDEBERGSVAGEN 24:LILJEHOLMSKAJEN/ARSTABERG:STOCKHOLM:Sweden,SLUTPRISSEK,3000000,58252,KR/M2
0.0,0.0,GAMLA HUDDINGEVAGEN 419B:ORBY:STOCKHOLM:Sweden,SLUTPRISSEK,3840000,46829,KR/M2
0.0,0.0,DRACHMANNSGATAN 22:BROMMABLACKEBERG:STOCKHOLM:Sweden,SLUTPRISSEK,2300000,42593,KR/M2
0.0,0.0,GUBBKARRSVAGEN 29E 3TR:BROMMA/NOCKEBYHOV:STOCKHOLM:Sweden,SLUTPRISSEK,2530000,40806,KR/M2
0.0,0.0,SLATTGARDSVAGEN 87B:MALARHOJDEN/VASTERTORP:STOCKHOLM:Sweden,SLUTPRISSEK,2700000,38028,KR/M2
0.0,0.0,CREUTZGATAN 5:KUNGSHOLMEN:STOCKHOLM:Sweden,SLUTPRISSEK,2925000,79054,KR/M2
0.0,0.0,TUNNLANDSVAGEN 65: TUNNLANDSVAGEN 65:BROMMA-AKESLUND:Sweden,SLUTPRISSEK,2515000,59881,KR/M2
0.0,0.0,KLINTBACKEN 4:MARIEHALL:STOCKHOLM:Sweden,SLUTPRISSEK,4825000,49235,KR/M2
0.0,0.0,WERGELANDSGATAN 26:BROMMA-BLACKEBERG:STOCKHOLM:Sweden,SLUTPRISSEK,2350000,39831,KR/M2
0.0,0.0,TEKNOLOGGATAN 7D:VASASTAN-TEGNÉRLUNDEN:STOCKHOLM:Sweden,SLUTPRISSEK,6300000,108621,KR/M2
0.0,0.0,NYBOHOVSBACKEN 71:LILJEHOLMEN:STOCKHOLM:Sweden,SLUTPRISSEK,3990000,50506,KR/M2
0.0,0.0,SIMRISHAMNSVAGEN 21:BJORKHAGEN:STOCKHOLM:Sweden,SLUTPRISSEK,4430000,64203,KR/M2
0.0,0.0,FYRSKEPPSVAGEN 19:KARRTORP:STOCKHOLM:Sweden,SLUTPRISSEK,4150000,47159,KR/M2
0.0,0.0,BONDEGATAN 63:SOFO:STOCKHOLM:Sweden,SLUTPRISSEK,3100000,124000,KR/M2
0.0,0.0,ALPVAGEN 22:BROMMA-MARIEHALL:STOCKHOLM:Sweden,SLUTPRISSEK,3000000,50847,KR/M2
0.0,0.0,KRUKMAKARGATAN 26:SODERMALMHOGALID:STOCKHOLM:Sweden,SLUTPRISSEK,6850000,64019,KR/M2
0.0,0.0,HAMMARBY ALLÉ 13:HAMMARBYSJOSTAD:STOCKHOLM:Sweden,SLUTPRISSEK,3500000,70707,KR/M2
0.0,0.0,KOCKSGATAN 41:SODERMALM:STOCKHOLM:Sweden,SLUTPRISSEK,4700000,88679,KR/M2
0.0,0.0,OTTSJOVAGEN 10:ARSTA:STOCKHOLM:Sweden,SLUTPRISSEK,3000000,53571,KR/M2
0.0,0.0,ERIK DAHLBERGSGATAN 29B:GARDET/OSTERMALM:STOCKHOLM:Sweden,SLUTPRISSEK,3300000,86842,KR/M2
0.0,0.0,SOFIELUNDSPLAN 40:JOHANNESHOV/BLASUT:STOCKHOLM:Sweden,SLUTPRISSEK,3010000,52807,KR/M2
0.0,0.0,ARKADVAGEN 1:JOHANNESHOV:STOCKHOLM:Sweden,SLUTPRISSEK,2875000,59896,KR/M2
0.0,0.0,ADOLFSBERGSVAGEN 14:BROMMAMARIEHALL:STOCKHOLM:Sweden,SLUTPRISSEK,2180000,62286,KR/M2
0.0,0.0,BECKOMBERGA ALLÉ 8:BROMMABECKOMBERGA:STOCKHOLM:Sweden,SLUTPRISSEK,2950000,46825,KR/M2
0.0,0.0,ARTILLERIGATAN 29: ARTILLERIGATAN 29:OSTERMALM:Sweden,SLUTPRISSEK,2790000,121304,KR/M2
0.0,0.0,DALAGATAN 86G: DALAGATAN 86G:VASASTAN:Sweden,SLUTPRISSEK,3525000,95270,KR/M2
0.0,0.0,BLOMSTERKUNGSVAGEN 116B:HASSELBYNORRAVILLASTAD:STOCKHOLM:Sweden,SLUTPRISSEK,1430000,53962,KR/M2
0.0,0.0,BJORKETORPSVAGEN 13:BROMMANORRAANGBY:STOCKHOLM:Sweden,SLUTPRISSEK,2565000,45000,KR/M2
0.0,0.0,SKONTORPSVAGEN 4:ARSTA:STOCKHOLM:Sweden,SLUTPRISSEK,5000000,56818,KR/M2
0.0,0.0,TIDELIUSGATAN 61:SODERMALMKATARINA:STOCKHOLM:Sweden,SLUTPRISSEK,4550000,72222,KR/M2
0.0,0.0,HAMMARBY ALLÉ 157:HAMMARBYSJOSTAD:STOCKHOLM:Sweden,SLUTPRISSEK,3400000,73913,KR/M2
0.0,0.0,STORSJOVAGEN 61:ARSTA:STOCKHOLM:Sweden,SLUTPRISSEK,3000000,52632,KR/M2
0.0,0.0,SANDHAMNSGATAN 75D:GARDET:STOCKHOLM:Sweden,SLUTPRISSEK,6400000,84211,KR/M2
0.0,0.0,STRAHLENBERGSGATAN 16:HAMMARBYHOJDEN:STOCKHOLM:Sweden,SLUTPRISSEK,2180000,62286,KR/M2
0.0,0.0,HAMMARBY ALLÉ 28: HAMMARBY ALLÉ 28:HAMMARBYSJOSTAD:Sweden,SLUTPRISSEK,5050000,61585,KR/M2
0.0,0.0,FYRVERKARBACKEN 23:KUNGSHOLMEN:STOCKHOLM:Sweden,SLUTPRISSEK,3025000,70349,KR/M2
0.0,0.0,LARS FORSSELLS GATA 30:HORNSBERGSSTRAND:STOCKHOLM:Sweden,SLUTPRISSEK,4100000,83673,KR/M2
0.0,0.0,TIDELIUSGRAND 9:KATARINA:STOCKHOLM:Sweden,SLUTPRISSEK,3850000,81915,KR/M2
0.0,0.0,ALVKARLEOVAGEN 1:HJORTHAGEN:STOCKHOLM:Sweden,SLUTPRISSEK,3000000,67873,KR/M2
